scrip_name,symbol,exchange,segment,datetime,side,quantity,price,amount
ADANI WILMAR LIMITED,AWL,NSE,EQ,2022-02-07 00:00:00,BUY,40.0,230.0,9200.0
BANK OF BARODA,BANKBARODA,NSE,EQ,2021-11-08 09:01:00,SELL,1.0,103.2,103.2
CAPITAL TRADE LINKS,CTL,NSE,EQ,2021-11-28 20:48:00,BUY,165.0,10.8,1782.0
DEEPAK NITRITE,DEEPAKNTR,NSE,EQ,2024-06-21 15:13:00,BUY,1.0,2546.0,2546.0
FCS SOFTWARE SOLUTIONS,FCSSOFT,NSE,EQ,2022-01-05 09:28:00,BUY,150.0,6.48,972.0
FCS SOFTWARE SOLUTIONS,FCSSOFT,NSE,EQ,2022-01-31 09:12:00,BUY,150.0,6.75,1012.5
GITA RENEWABLE ENERGY,GITARENEW,NSE,EQ,2022-01-03 09:39:00,BUY,5.0,266.4,1332.0
GRAVITA INDIA,GRAVITA,NSE,EQ,2022-02-01 12:44:00,BUY,10.0,371.45,3714.5
ORIENT GREEN POWER COMPANY,GREENPOWER,NSE,EQ,2022-01-21 14:02:00,BUY,100.0,22.05,2205.0
ORIENT GREEN POWER COMPANY LTD.,GREENPOWER,NSE,EQ,2024-08-27 11:02:00,SELL,61.0,6.43,392.23
HFCL,HFCL,NSE,EQ,2021-12-15 10:03:00,BUY,10.0,82.55,825.5
HFCL,HFCL,NSE,EQ,2021-12-21 11:34:00,BUY,15.0,76.95,1154.25
HFCL,HFCL,NSE,EQ,2022-02-01 12:04:00,BUY,5.0,84.95,424.75
IDFC FIRST BANK,IDFCFIRSTB,NSE,EQ,2024-06-21 15:14:00,BUY,23.0,83.5,1920.5
KNR CONSTRUCTIONS,KNRCON,NSE,EQ,2024-06-21 15:09:00,BUY,8.0,353.0,2824.0
K.P. ENERGY LIMITED,KPEL,NSE,EQ,2021-12-27 09:52:00,BUY,20.0,237.1,4742.0
K.P. ENERGY LIMITED,KPEL,NSE,EQ,2021-12-31 10:10:00,BUY,10.0,228.3,2283.0
KPIT TECHNOLOGIES,KPITTECH,NSE,EQ,2021-12-31 13:50:00,BUY,10.0,612.3,6123.0
KPIT TECHNOLOGIES,KPITTECH,NSE,EQ,2022-01-28 09:26:00,BUY,10.0,641.1,6411.0
LLOYDS ENGINEERING WORKS,LLOYDSENGG,NSE,EQ,2021-11-29 09:11:00,BUY,100.0,12.5,1250.0
PUNJAB NATIONAL BANK,PNB,NSE,EQ,2021-12-23 09:45:00,SELL,2.0,37.95,75.9
RAGHUVIR SYNTHETICS,RAGHUSYN,NSE,EQ,2022-02-16 09:15:00,BUY,1.0,225.95,225.95
RATTANINDIA ENTERPRISES,RTNINDIA,NSE,EQ,2021-12-27 10:48:00,BUY,10.0,46.0,460.0
RATTANINDIA ENTERPRISES,RTNINDIA,NSE,EQ,2021-12-29 10:56:00,BUY,40.0,48.1,1924.0
RATTANINDIA ENTERPRISES,RTNINDIA,NSE,EQ,2022-01-04 09:18:00,BUY,20.0,51.6,1032.0
RATTANINDIA ENTERPRISES,RTNINDIA,NSE,EQ,2022-01-25 10:01:00,BUY,10.0,53.65,536.5
RATTANINDIA ENTERPRISES,RTNINDIA,NSE,EQ,2022-01-25 10:03:00,BUY,10.0,53.35,533.5
RATTANINDIA POWER LIMITED,RTNPOWER,NSE,EQ,2022-01-21 09:49:01,BUY,12.0,7.7,92.4
SUZLON ENERGY,SUZLON,NSE,EQ,2021-12-20 16:05:00,BUY,50.0,7.3,365.0
SUZLON ENERGY,SUZLON,NSE,EQ,2021-12-29 11:40:00,BUY,25.0,8.95,223.75
SUZLON ENERGY,SUZLON,NSE,EQ,2022-01-04 09:43:00,BUY,20.0,10.6,212.0
SUZLON ENERGY,SUZLON,NSE,EQ,2022-01-04 12:25:00,BUY,5.0,10.2,51.0
SUZLON ENERGY,SUZLON,NSE,EQ,2022-01-04 12:25:00,BUY,80.0,10.2,816.0
SUZLON ENERGY,SUZLON,NSE,EQ,2022-01-06 09:39:00,BUY,10.0,9.6,96.0
SUZLON ENERGY,SUZLON,NSE,EQ,2022-01-06 09:41:00,BUY,10.0,9.6,96.0
SUZLON ENERGY,SUZLON,NSE,EQ,2022-01-06 09:41:00,BUY,10.0,9.75,97.5
SUZLON ENERGY,SUZLON,NSE,EQ,2022-01-06 09:43:00,BUY,40.0,9.7,388.0
SUZLON ENERGY,SUZLON,NSE,EQ,2022-01-07 09:30:00,BUY,10.0,10.55,105.5
SUZLON ENERGY,SUZLON,NSE,EQ,2022-01-25 09:57:00,BUY,40.0,10.8,432.0
TATA MOTORS,TATAMOTORS,NSE,EQ,2022-01-24 15:27:53,BUY,2.0,477.05,954.1
TATA MOTORS,TATAMOTORS,NSE,EQ,2022-01-25 11:56:08,BUY,8.0,483.8,3870.4
TATA POWER COMPANY,TATAPOWER,NSE,EQ,2021-12-21 13:09:00,BUY,20.0,214.65,4293.0
TATA POWER COMPANY,TATAPOWER,NSE,EQ,2022-01-24 15:29:00,BUY,10.0,227.9,2279.0
TRIDENT,TRIDENT,NSE,EQ,2021-12-09 16:17:00,BUY,50.0,56.0,2800.0
TRIDENT,TRIDENT,NSE,EQ,2022-01-03 09:36:00,BUY,10.0,53.75,537.5
TRIDENT,TRIDENT,NSE,EQ,2022-01-06 11:25:00,BUY,10.0,53.35,533.5
TRIDENT,TRIDENT,NSE,EQ,2022-01-06 11:27:00,BUY,20.0,53.6,1072.0
TRIDENT,TRIDENT,NSE,EQ,2022-01-21 14:12:00,BUY,10.0,64.9,649.0
TATA TELESERVICES (MAHARASHTRA),TTML,NSE,EQ,2021-12-24 09:16:00,BUY,30.0,161.8,4854.0
VIKAS LIFECARE,VIKASLIFE,NSE,EQ,2022-01-05 09:20:00,BUY,100.0,4.6,460.0
VIKAS LIFECARE,VIKASLIFE,NSE,EQ,2022-01-31 09:16:00,BUY,300.0,6.41,1923.0
WIPRO LTD.,WIPRO,NSE,EQ,2022-01-24 09:50:01,BUY,5.0,588.25,2941.25
WIPRO LTD.,WIPRO,NSE,EQ,2022-01-24 14:30:26,BUY,5.0,572.75,2863.75
WIPRO LTD.,WIPRO,NSE,EQ,2022-06-07 14:35:19,BUY,5.0,467.0,2335.0
ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-24 09:28:41,BUY,10.0,101.95,1019.5
ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-24 14:30:28,BUY,10.0,93.1,931.0
ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-24 15:26:07,BUY,10.0,90.95,909.5
ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-25 11:54:40,BUY,20.0,99.05,1981.0
ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-27 10:06:18,BUY,40.0,93.3,3732.0
ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-27 14:20:07,BUY,5.0,91.15,455.75
ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-27 14:21:01,BUY,3.0,91.0,273.0
ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-02-16 09:25:10,BUY,2.0,84.85,169.7
BRIGHTCOM GROUP,nan,NSE,EQ,2021-12-22 09:41:00,BUY,20.0,185.85,3717.0
BRIGHTCOM GROUP,nan,NSE,EQ,2021-12-24 09:42:00,BUY,20.0,200.0,4000.0
BRIGHTCOM GROUP,nan,NSE,EQ,2022-01-06 09:09:00,BUY,10.0,150.0,1500.0
BRIGHTCOM GROUP,nan,NSE,EQ,2022-01-06 09:15:00,BUY,40.0,150.8,6032.0
BRIGHTCOM GROUP,nan,NSE,EQ,2022-01-06 09:17:00,BUY,5.0,154.6,773.0
BRIGHTCOM GROUP,nan,NSE,EQ,2022-01-25 10:03:00,BUY,5.0,170.9,854.5
BRIGHTCOM GROUP,nan,NSE,EQ,2022-02-11 09:17:00,BUY,2.0,158.05,316.1
SWORD-EDGE COMMERCIALS,nan,NSE,EQ,2022-02-24 10:00:00,SELL,200.0,0.82,164.0
SWORD-EDGE COMMERCIALS,nan,NSE,EQ,2022-05-20 14:14:00,SELL,200.0,0.77,154.0
